experiment_id,image_pair,resolution,lambda,blur,reach,splatting,t,psnr,delta_e,tearing_pct,coverage,mass_error,sharpness,compute_time_total,compute_time_per_frame,sinkhorn_time,interpolation_time,memory_allocated_gb,memory_max_allocated_gb
1,cifar_car_airplane,32,0.0,0.03,0.1,True,0.5,12.396645777018303,22.05533790588379,0.0,1.0,0.0008602220431346846,0.04828236624598503,0.1059722900390625,0.1059722900390625,0.1059713363647461,9.5367431640625e-07,0.013379584,0.2786048
2,cifar_car_airplane,32,0.5,0.03,0.1,True,0.5,10.008992965064397,25.869510650634766,0.0,1.0,0.09614428811399758,0.04794115573167801,0.05530047416687012,0.05530047416687012,0.055299997329711914,4.76837158203125e-07,0.01303552,0.2786048
3,cifar_car_airplane,32,1.0,0.03,0.1,True,0.5,9.279617426074218,27.969846725463867,0.0,1.0,0.1151804775056891,0.04583675414323807,0.054413795471191406,0.054413795471191406,0.0544123649597168,1.430511474609375e-06,0.012909056,0.2786048
4,cifar_car_airplane,32,1.5,0.03,0.1,True,0.5,8.887334907038273,28.97140884399414,0.0,1.0,0.12800737161219108,0.046588312834501266,0.03981661796569824,0.03981661796569824,0.03981494903564453,1.6689300537109375e-06,0.012841984,0.2786048
5,cifar_car_airplane,32,2.0,0.03,0.1,True,0.5,8.433676432517107,30.134464263916016,0.0,1.0,0.14691420068544117,0.04745197296142578,0.04191422462463379,0.04191422462463379,0.04191303253173828,1.1920928955078125e-06,0.012808192,0.2786048
6,cifar_car_airplane,32,0.0,0.03,0.1,False,0.0,6.7351233487702675,42.620723724365234,0.0,1.0,0.0,0.04791974276304245,0.08024168014526367,0.011463097163609095,0.08024096488952637,7.152557373046875e-07,0.013379584,0.2786048
6,cifar_car_airplane,32,0.0,0.03,0.1,False,0.1,7.665017403410066,38.197654724121094,0.0,1.0,0.010538068220542332,0.04091280326247215,0.08024168014526367,0.011463097163609095,0.08024096488952637,7.152557373046875e-07,0.013379584,0.2786048
6,cifar_car_airplane,32,0.0,0.03,0.1,False,0.2,8.689264101810787,33.848472595214844,0.0,1.0,0.008309648454212233,0.042607638984918594,0.08024168014526367,0.011463097163609095,0.08024096488952637,7.152557373046875e-07,0.013379584,0.2786048
6,cifar_car_airplane,32,0.0,0.03,0.1,False,0.5,12.716651458725753,21.14431381225586,0.0,1.0,0.004905059196188525,0.05348006635904312,0.08024168014526367,0.011463097163609095,0.08024096488952637,7.152557373046875e-07,0.013379584,0.2786048
6,cifar_car_airplane,32,0.0,0.03,0.1,False,0.8,20.220341784607964,8.878108978271484,0.0,1.0,0.0037386184008120654,0.0752338096499443,0.08024168014526367,0.011463097163609095,0.08024096488952637,7.152557373046875e-07,0.013379584,0.2786048
6,cifar_car_airplane,32,0.0,0.03,0.1,False,0.9,22.963150413161372,5.751997470855713,0.0,1.0,0.0031363729609076366,0.08558610081672668,0.08024168014526367,0.011463097163609095,0.08024096488952637,7.152557373046875e-07,0.013379584,0.2786048
6,cifar_car_airplane,32,0.0,0.03,0.1,False,1.0,139.52670223106009,2.0990471966797486e-05,0.0,1.0,0.0,0.10261806845664978,0.08024168014526367,0.011463097163609095,0.08024096488952637,7.152557373046875e-07,0.013379584,0.2786048
7,cifar_car_airplane,32,0.0,0.03,0.1,True,0.0,7.042286009871858,41.30310821533203,0.0,1.0,0.0005525225708645615,0.031052693724632263,0.1730813980102539,0.024725914001464844,0.1730806827545166,7.152557373046875e-07,0.013379584,0.2786048
7,cifar_car_airplane,32,0.0,0.03,0.1,True,0.1,7.910128912910382,37.23506164550781,0.0,1.0,0.0008016075183413372,0.032777924090623856,0.1730813980102539,0.024725914001464844,0.1730806827545166,7.152557373046875e-07,0.013379584,0.2786048
7,cifar_car_airplane,32,0.0,0.03,0.1,True,0.2,8.847650841165656,33.32859420776367,0.0,1.0,0.0009644191913595936,0.03545932471752167,0.1730813980102539,0.024725914001464844,0.1730806827545166,7.152557373046875e-07,0.013379584,0.2786048
7,cifar_car_airplane,32,0.0,0.03,0.1,True,0.5,12.396645777018303,22.05533790588379,0.0,1.0,0.0008601417947981825,0.048282358795404434,0.1730813980102539,0.024725914001464844,0.1730806827545166,7.152557373046875e-07,0.013379584,0.2786048
7,cifar_car_airplane,32,0.0,0.03,0.1,True,0.8,19.14734381803774,10.009635925292969,0.0,1.0,0.0002944369279339507,0.06902623921632767,0.1730813980102539,0.024725914001464844,0.1730806827545166,7.152557373046875e-07,0.013379584,0.2786048
7,cifar_car_airplane,32,0.0,0.03,0.1,True,0.9,24.043916180653238,5.530402660369873,0.0,1.0,0.00013808699638042822,0.07935626804828644,0.1730813980102539,0.024725914001464844,0.1730806827545166,7.152557373046875e-07,0.013379584,0.2786048
7,cifar_car_airplane,32,0.0,0.03,0.1,True,1.0,36.61708517663589,0.8869583606719971,0.0,1.0,3.642488959684047e-05,0.09496776014566422,0.1730813980102539,0.024725914001464844,0.1730806827545166,7.152557373046875e-07,0.013379584,0.2786048
8,cifar_car_airplane,32,1.0,0.03,0.1,False,0.0,6.731381961739303,42.63390350341797,0.0,1.0,0.0003947287685752128,0.048024117946624756,0.037276506423950195,0.005325215203421456,0.03727579116821289,7.152557373046875e-07,0.012909056,0.2786048
8,cifar_car_airplane,32,1.0,0.03,0.1,False,0.1,6.503234243320812,42.21663284301758,0.0,0.955078125,0.07702365590012512,0.1183580532670021,0.037276506423950195,0.005325215203421456,0.03727579116821289,7.152557373046875e-07,0.012909056,0.2786048
8,cifar_car_airplane,32,1.0,0.03,0.1,False,0.2,6.3693158961981595,41.43655014038086,0.0,0.9072265625,0.1397321669412354,0.1860547512769699,0.037276506423950195,0.005325215203421456,0.03727579116821289,7.152557373046875e-07,0.012909056,0.2786048
8,cifar_car_airplane,32,1.0,0.03,0.1,False,0.5,6.695655696555161,34.09613800048828,0.0,0.796875,0.2950218145071739,0.24717743694782257,0.037276506423950195,0.005325215203421456,0.03727579116821289,7.152557373046875e-07,0.012909056,0.2786048
8,cifar_car_airplane,32,1.0,0.03,0.1,False,0.8,7.515942339544423,24.5684814453125,0.0,0.810546875,0.3177981759522147,0.21976031363010406,0.037276506423950195,0.005325215203421456,0.03727579116821289,7.152557373046875e-07,0.012909056,0.2786048
8,cifar_car_airplane,32,1.0,0.03,0.1,False,0.9,8.513998754811412,19.432559967041016,0.0,0.873046875,0.25381577228731805,0.19389817118644714,0.037276506423950195,0.005325215203421456,0.03727579116821289,7.152557373046875e-07,0.012909056,0.2786048
8,cifar_car_airplane,32,1.0,0.03,0.1,False,1.0,10.788368016080458,9.577003479003906,0.0,0.9541015625,0.1642326102981401,0.1161804050207138,0.037276506423950195,0.005325215203421456,0.03727579116821289,7.152557373046875e-07,0.012909056,0.2786048
9,cifar_car_airplane,32,1.0,0.03,0.1,True,0.0,7.309006175851954,39.38896942138672,0.0,1.0,0.005169481291224242,0.032880838960409164,0.04856252670288086,0.006937503814697266,0.04856109619140625,1.430511474609375e-06,0.012909056,0.2786048
9,cifar_car_airplane,32,1.0,0.03,0.1,True,0.1,7.540526384746955,37.72807312011719,0.0,1.0,0.022812223965505918,0.034046340733766556,0.04856252670288086,0.006937503814697266,0.04856109619140625,1.430511474609375e-06,0.012909056,0.2786048
9,cifar_car_airplane,32,1.0,0.03,0.1,True,0.2,7.849420021597395,35.79108810424805,0.0,1.0,0.04851035004184921,0.03561124578118324,0.04856252670288086,0.006937503814697266,0.04856109619140625,1.430511474609375e-06,0.012909056,0.2786048
9,cifar_car_airplane,32,1.0,0.03,0.1,True,0.5,9.279617151957098,27.9698486328125,0.0,1.0,0.1151804775056891,0.04583675041794777,0.04856252670288086,0.006937503814697266,0.04856109619140625,1.430511474609375e-06,0.012909056,0.2786048
9,cifar_car_airplane,32,1.0,0.03,0.1,True,0.8,10.384743530700986,18.807811737060547,0.0,0.9970703125,0.17857540246768067,0.07572940737009048,0.04856252670288086,0.006937503814697266,0.04856109619140625,1.430511474609375e-06,0.012909056,0.2786048
9,cifar_car_airplane,32,1.0,0.03,0.1,True,0.9,10.98677135047424,14.73023509979248,0.0,1.0,0.17154767255375147,0.09281888604164124,0.04856252670288086,0.006937503814697266,0.04856109619140625,1.430511474609375e-06,0.012909056,0.2786048
9,cifar_car_airplane,32,1.0,0.03,0.1,True,1.0,11.683816635957978,10.297040939331055,0.0,1.0,0.15571374775416727,0.10612309724092484,0.04856252670288086,0.006937503814697266,0.04856109619140625,1.430511474609375e-06,0.012909056,0.2786048
10,cifar_car_airplane,32,1.0,0.03,0.1,False,0.5,6.695655696555161,34.09613800048828,0.0,0.796875,0.2950218145071739,0.24717745184898376,0.06576013565063477,0.06576013565063477,0.06575942039489746,7.152557373046875e-07,0.012909056,0.2786048
11,cifar_car_airplane,32,1.0,0.03,0.1,True,0.5,9.279617426074218,27.969846725463867,0.0,1.0,0.1151804775056891,0.04583674669265747,0.07118892669677734,0.07118892669677734,0.07118821144104004,7.152557373046875e-07,0.012909056,0.2786048
12,cifar_car_airplane,48,1.0,0.03,0.1,False,0.5,6.553888618476476,34.731319427490234,0.0,0.7921006944444444,0.3090536402241727,0.15068836510181427,0.1546316146850586,0.1546316146850586,0.1546308994293213,7.152557373046875e-07,0.030622208,0.2786048
13,cifar_car_airplane,48,1.0,0.03,0.1,True,0.5,8.68860901096992,29.013593673706055,0.0,0.9995659722222222,0.12875728127222652,0.03383569046854973,0.11728477478027344,0.11728477478027344,0.11728358268737793,1.1920928955078125e-06,0.030622208,0.428331008
14,cifar_car_airplane,64,1.0,0.03,0.1,False,0.5,6.519350742099447,34.97606658935547,0.0,0.79638671875,0.313869232280986,0.08980859816074371,0.41010594367980957,0.41010594367980957,0.41010522842407227,7.152557373046875e-07,0.078301184,0.428331008
15,cifar_car_airplane,64,1.0,0.03,0.1,True,0.5,8.215709233951085,29.91242790222168,0.0,0.987548828125,0.15526296297574324,0.027014806866645813,0.40944790840148926,0.40944790840148926,0.40944719314575195,7.152557373046875e-07,0.078301184,1.305421824
16,cifar_car_airplane,32,1.0,0.01,0.1,True,0.5,9.288907590798315,27.962045669555664,0.0,1.0,0.11477843333981338,0.047223955392837524,0.07557511329650879,0.07557511329650879,0.07557415962219238,9.5367431640625e-07,0.012760576,1.305421824
17,cifar_car_airplane,32,1.0,0.01,0.3,True,0.5,9.694919987854982,27.36851692199707,0.0,1.0,0.05774128618422571,0.048310354351997375,0.06573486328125,0.06573486328125,0.0657341480255127,7.152557373046875e-07,0.012772352,1.305421824
18,cifar_car_airplane,32,1.0,0.01,0.5,True,0.5,9.87844544137132,27.196044921875,0.0,1.0,0.044113353182759364,0.046809107065200806,0.048911333084106445,0.048911333084106445,0.04891014099121094,1.1920928955078125e-06,0.012775424,1.305421824
19,cifar_car_airplane,32,1.0,0.03,0.1,True,0.5,9.279617426074218,27.969846725463867,0.0,1.0,0.1151803972573526,0.04583675041794777,0.050505876541137695,0.050505876541137695,0.05050516128540039,7.152557373046875e-07,0.012909056,1.305421824
20,cifar_car_airplane,32,1.0,0.03,0.3,True,0.5,9.675778020202653,27.423837661743164,0.0,1.0,0.057965580284749185,0.047969598323106766,0.053609371185302734,0.053609371185302734,0.05360865592956543,7.152557373046875e-07,0.01300736,1.305421824
21,cifar_car_airplane,32,1.0,0.03,0.5,True,0.5,9.867746273564158,27.196426391601562,0.0,1.0,0.044178916073681615,0.046910934150218964,0.04120326042175293,0.04120326042175293,0.04120302200317383,2.384185791015625e-07,0.01303296,1.305421824
22,cifar_car_airplane,32,1.0,0.05,0.1,True,0.5,9.264640848682651,27.954530715942383,0.0,1.0,0.11686689629728157,0.045675549656152725,0.04225754737854004,0.04225754737854004,0.04225659370422363,9.5367431640625e-07,0.013182976,1.305421824
23,cifar_car_airplane,32,1.0,0.05,0.3,True,0.5,9.664798606568416,27.43167495727539,0.0,1.0,0.05826097441141356,0.047503311187028885,0.04805445671081543,0.04805445671081543,0.048053741455078125,7.152557373046875e-07,0.013392896,1.305421824
24,cifar_car_airplane,32,1.0,0.05,0.5,True,0.5,9.879831353120514,27.13207244873047,0.0,1.0,0.04373121060433618,0.047194480895996094,0.048497676849365234,0.048497676849365234,0.04849696159362793,7.152557373046875e-07,0.013449216,1.305421824
25,cifar_car_airplane,16,1.0,0.03,0.1,True,0.5,9.511913920464053,27.539033889770508,0.0,1.0,0.12291469712227471,0.08499763906002045,0.039218902587890625,0.039218902587890625,0.03921818733215332,7.152557373046875e-07,0.008798208,1.305421824
26,cifar_car_airplane,32,1.0,0.03,0.1,True,0.5,9.279617426074218,27.969850540161133,0.0,1.0,0.1151803972573526,0.04583674669265747,0.07607555389404297,0.07607555389404297,0.07607388496398926,1.6689300537109375e-06,0.012909056,1.305421824
27,cifar_car_airplane,64,1.0,0.03,0.1,True,0.5,8.215708804834474,29.91242790222168,0.0,0.987548828125,0.15526296297574324,0.027014808729290962,0.6003456115722656,0.6003456115722656,0.6003451347351074,4.76837158203125e-07,0.078301184,1.305421824
